"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN","TOBS"
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-03-19",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-03-20",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-03-21",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-03-22",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-03-23",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-03-24",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-03-25",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-03-26",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-03-27",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-03-28",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-03-29",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-03-30",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-04-01",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-04-02",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-04-03",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-04-04",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-04-05",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-04-06",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-04-07",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-04-08",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-04-09",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-04-10",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-04-11",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-04-12",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-04-13",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-04-14",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-04-15",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-04-16",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-04-17",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-04-18",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-04-19",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-04-20",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-04-21",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-04-22",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-04-23",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-04-24",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-04-25",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-04-26",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-04-27",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-04-28",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-04-29",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-04-30",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-05-01",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-05-02",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-05-03",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-05-04",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-05-05",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-05-06",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-05-07",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-05-08",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-05-09",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-05-10",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-05-11",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-05-12",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-05-13",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-05-14",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-05-15",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-05-16",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-05-17",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-05-18",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-05-19",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-05-20",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-05-21",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-05-22",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-05-23",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-05-24",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-05-25",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-05-26",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-05-27",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-05-28",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-05-29",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-05-30",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-05-31",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-06-01",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-06-02",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-06-03",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-06-04",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-06-05",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-06-06",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-06-07",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-06-08",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-06-09",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-06-10",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-06-11",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-06-12",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-06-13",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-06-14",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-06-15",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-06-16",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-06-17",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-06-18",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-06-19",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-06-20",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-06-21",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-06-22",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-06-23",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-06-24",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-06-25",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-06-26",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-06-27",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-06-28",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-06-29",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-06-30",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-07-01",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-07-02",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-07-03",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-07-04",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-07-05",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-07-06",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-07-07",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-07-08",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-07-09",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-07-10",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-07-11",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-07-12",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-07-13",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-07-14",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-07-15",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-07-16",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-07-17",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-07-18",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-07-19",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-07-20",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-07-21",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-07-22",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-07-23",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-07-24",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-07-25",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-07-26",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-07-27",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-07-28",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-07-29",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-07-30",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-07-31",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-08-01",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-08-02",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-08-03",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-08-04",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-08-05",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-08-06",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-08-07",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-08-08",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-08-09",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-08-10",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-08-11",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-08-12",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-08-13",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-08-14",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-08-15",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-08-16",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-08-17",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-08-18",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-08-19",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-08-20",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-08-21",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-08-23",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-08-24",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-08-25",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-08-26",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-08-27",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-08-28",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-08-29",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-08-30",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-08-31",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-09-01",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-09-02",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-09-03",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-09-04",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-09-05",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-09-06",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-09-07",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-09-08",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-09-09",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-09-10",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-09-11",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-09-12",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-09-13",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-09-14",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-09-15",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-09-16",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-09-17",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-09-18",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-09-19",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-09-20",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-09-21",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-09-22",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-09-23",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-09-24",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-09-25",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-09-26",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-09-27",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-09-28",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-09-29",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-09-30",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-10-01",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-10-02",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-10-03",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-10-04",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-10-05",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-10-06",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-10-07",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-10-08",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-10-09",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-10-11",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-10-12",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-10-14",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-10-15",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-10-16",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-10-17",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-10-18",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-10-19",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-10-20",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-10-21",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-10-22",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-10-23",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-10-24",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-10-25",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-10-26",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-10-27",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-10-28",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-10-29",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-10-30",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-10-31",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-11-01",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-11-02",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-11-03",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-11-04",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-11-05",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-11-06",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-11-07",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-11-08",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-11-09",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-11-10",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-11-11",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-11-12",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-11-13",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-11-14",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-11-15",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-11-16",,,,
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","41.840697","-87.859547","192.0","2012-11-17",,,,
